Temperature Â°C,Mols KCL,Size nm^3
469,647,624474.2571
403,694,577961.0286
302,975,619684.7143
779,916,1460449.029
901,18,43257.25714
545,637,712463.4
660,519,700696.0286
143,869,271826.0286
89,461,89198.02857
294,776,477021.0286
991,117,244177.1143
307,781,500645.4571
206,70,31452
437,599,539021.4571
566,75,91852.71429
62,293,39528.82857
331,781,538421.4571
35,149,11484.31429
905,76,148585.0286
227,864,416308.4571
913,66,131596.4571
709,332,482433.2571
626,903,1161365.4
38,163,13603.11429
849,243,424489.1143
899,5,19778.71429
539,725,803035.8571
230,665,321295
396,846,695233.0286
132,777,223961.4
672,802,1104329.257
950,993,1926272.829
367,686,521373.6
598,646,791715.3143
740,299,453954.3143
609,36,51193.02857
929,26,59475.31429
262,800,440629.7143
290,760,460782.8571
297,126,78861.6
986,399,803208.6
178,606,228364.4571
135,818,241597.8286
735,696,1045780.457
183,172,65993.25714
75,379,61854.02857
489,396,397636.4571
617,390,493009.7143
323,176,118457.0286
761,153,242666.8286
942,660,1267189.714
392,157,128496.2571
315,924,610293.6
993,23,57609.11429
808,554,913729.0286
965,721,1417962.6
70,349,53180.02857
172,136,49376.45714
811,386,640081.0286
863,533,938430.8286
316,2,5056.114286
388,907,731992.2571
61,283,37546.25714
580,817,973751.1143
224,732,345933.2571
518,772,823036.1143
695,239,342182.0286
597,583,712977.1143
412,446,378131.3143
134,673,194912.8286
370,883,680136.8286
831,647,1097246.257
234,698,343392.1143
522,753,808596.2571
835,321,549034.0286
885,139,257202.0286
312,398,256621.8286
663,295,401612.4286
488,87,90984.25714
422,750,654135.4286
245,69,36886.02857
291,709,430492.3143
973,875,1736301
335,392,271050.4
880,435,781566.4286
700,332,476349.2571
970,575,1136586.429
846,30,60937.71429
983,433,868430.8286
999,262,537425.2571
238,453,224347.1143
128,804,225829.0286
328,391,264800.0286
933,760,1445858.857
784,188,305201.8286
108,439,101626.3143
86,443,82835.11429
222,136,63576.45714
847,340,589426.8571
363,352,263448.1143
628,474,609299.3143
186,829,330255.4571
636,388,505469.2571
640,255,335937.8571
718,1000,1473187.429
872,131,239418.3143
439,40,40433.71429
675,759,1049209.457
293,466,282796.4571
417,186,161116.4571
239,108,54825.25714
202,787,338068.2571
218,601,274972.0286
92,479,95795.45714
166,479,167575.4571
330,13,12544.82857
281,775,456082.7143
283,637,375531.4
519,353,376202.2571
242,83,43272.82857
3,5,66.71428571
590,246,299089.0286
418,857,742452.2571
379,370,288919.4286
204,29,14304.02857
723,2,11568.11429
650,931,1242864.6
343,172,122953.2571
562,154,180517.6
78,397,67371.11429
397,187,154241.1143
960,637,1246153.4
691,792,1120757.829
1000,600,1222285.714
920,615,1153446.429
790,350,565980
287,600,358129.7143
773,976,1545388.457
209,299,130044.3143
605,90,116391.4286
938,183,355520.8286
423,820,718007.4286
136,89,26066.31429
584,52,67821.25714
333,519,357346.0286
475,649,634284.3143
610,678,847613.8286
386,242,193129.2571
8,19,410.3142857
679,711,988129.4571
541,804,894889.0286
464,18,22281.25714
619,285,362578.7143
616,440,555003.4286
813,887,1474497.114
324,359,240202.3143
948,507,979992.2571
822,15,34530.42857
413,386,328049.0286
830,695,1177460.714
797,116,194852.4571
778,573,910304.8286
270,960,547971.4286
587,422,507560.1143
715,687,1004474.829
208,552,240833.8286
556,953,1092356.829
94,491,100324.0286
37,157,12766.25714
714,373,545187.1143
52,239,27112.02857
521,161,174754.6
149,25,9255.857143
664,957,1305031.114
7,17,330.2571429
861,216,383617.0286
365,293,220722.8286
162,881,309564.0286
621,569,723400.3143
739,406,613645.6
395,771,630814.0286
805,87,149946.2571
461,125,121228.4286
689,500,704410.8571
980,277,556872.2571
5,11,173.4571429
637,520,677849.7143
498,788,808565.2571
463,656,625307.3143
705,385,555545
600,874,1077825.029
780,314,502017.0286
430,560,495720
794,497,805821.4
699,236,339907.3143
959,786,1536707.314
717,887,1303041.114
368,7,9569.4
606,782,972528.1143
111,774,190276.4571
479,593,583889.1143
371,496,379513.0286
476,866,851571.3143
405,727,608830.8286
273,36,22969.02857
56,263,32104.25714
963,4,19260.45714
807,529,871485.4571
484,863,862471.1143
205,920,403842.8571
332,444,304432.4571
815,53,96250.25714
728,483,718649.4
918,560,1048136
508,699,730240.0286
891,736,1337721.029
928,395,748713.8571
91,467,92317.11429
104,813,189236.8286
235,306,149315.3143
852,500,869366.8571
442,128,118924.1143
117,265,65420.42857
512,448,470630.4
326,310,208777.7143
886,677,1223371.114
334,4,6680.457143
9,23,537.1142857
836,573,977468.8286
28,107,6655.114286
79,401,68900.31429
876,601,1073784.029
101,828,188056.1143
804,314,517377.0286
494,177,181699.1143
516,113,123172.8286
766,485,758932.7143
540,172,193085.2571
4,7,105.4
157,145,48014.71429
611,572,715664.1143
350,37,30139.11429
256,320,169837.7143
197,572,237080.1143
404,641,534515.4571
478,511,501712.6
843,939,1618462.029
832,195,335550.4286
314,439,284966.3143
924,140,270368
452,720,671115.4286
341,375,263859.8571
196,722,300269.8286
630,48,68105.82857
729,210,316188
513,85,93572.42857
495,497,505027.4
559,926,1066475.314
893,828,1509112.114
818,515,859933.8571
106,457,104123.1143
654,925,1242194.429
655,886,1190948.457
680,689,958763.4571
483,108,110457.2571
300,555,345400.7143
987,278,562824.1143
677,5,14894.71429
882,900,1621326.857
345,970,700322.8571
665,245,335545
724,674,997619.3143
716,945,1387347
736,907,1367440.257
707,751,1086512.314
643,837,1104114.257
246,202,103501.8286
957,519,1012546.029
266,572,316844.1143
74,373,60067.11429
80,409,71179.45714
523,608,652805.8286
962,42,92402.4
992,435,880350.4286
678,177,249043.1143
457,302,284117.8286
947,235,458031.8571
989,740,1491233.714
656,792,1064897.829
372,944,732261.0286
27,103,6189.114286
292,283,171064.2571
77,389,65153.45714
926,960,1815363.429
796,848,1380113.829
45,197,19378.82857
997,478,971624.1143
873,899,1603221.457
985,786,1577891.314
961,206,408676.4571
834,227,390116.2571
306,169,107916.0286
958,8,26825.82857
538,79,91638.31429
42,181,16644.02857
625,808,1036153.257
69,347,52154.25714
232,625,303944.7143
201,55,24608.42857
871,602,1069490.4
978,111,229204.0286
940,984,1888864.457
760,622,965613.8286
499,403,412822.2571
364,1,5096.028571
507,810,846169.7143
506,75,82132.71429
348,288,206993.8286
684,5,15048.71429
990,737,1486659.114
322,755,506370.4286
375,413,319123.4
856,705,1231432.714
914,155,294994.4286
703,774,1113796.457
710,873,1269955.114
569,438,510753.2571
658,475,639442.4286
154,681,224846.3143
884,723,1303807.114
10,29,724.0285714
758,647,1001908.257
653,172,233313.2571
384,168,134438.4
701,816,1171468.457
213,476,211805.6
555,836,954588.4571
127,26,8147.314286
285,701,417030.0286
789,215,350058.7143
764,319,499507.4571
473,732,713457.2571
13,41,1270.028571
520,76,85445.02857
931,772,1465664.114
887,962,1743673.257
485,352,350800.1143
599,905,1114778.714
150,684,220367.3143
688,522,734313.2571
552,967,1100908.829
243,384,193753.0286
888,69,133336.0286
466,127,124416.8286
742,405,614610.4286
809,398,658197.8286
904,530,977113.7143
558,66,80476.45714
527,936,1017899.314
910,954,1773203.314
481,267,264662.8286
168,698,250464.1143
683,446,623115.3143
648,371,492524.6
474,562,547488.1143
698,92,137049.8286
824,800,1346573.714
217,682,311881.2571
762,349,544500.0286
644,287,379737.4
634,299,389294.3143
946,747,1440619.114
122,807,216979.1143
745,186,287068.4571
353,602,439602.4
657,137,188438.2571
812,780,1293846.857
103,215,46846.71429
444,15,18654.42857
750,681,1043750.314
549,366,412283.3143
568,804,938629.0286
727,839,1248742.029
123,882,240674.4
645,188,251269.8286
133,649,186264.3143
641,284,374084.4571
177,160,59495.42857
462,706,672129.0286
595,518,631226.4
130,575,160506.4286
511,934,985604.4571
955,432,841912.1143
712,12,25636.11429
20,71,3224.028571
547,8,15317.82857
71,353,54538.25714
907,99,190750.0286
129,68,19224.11429
12,37,1071.114286
530,326,354956.4571
141,128,38256.11429
953,422,820856.1143
76,383,63319.11429
681,360,502194.8571
911,558,1036504.114
189,670,268353.7143
182,621,239246.3143
936,986,1884801.029
46,199,19991.45714
602,500,616366.8571
785,595,953685
623,732,934857.2571
33,137,9974.257143
25,97,5418.828571
53,241,27841.45714
670,865,1188517.857
696,193,278072.2571
500,388,398301.2571
190,450,179065.7143
542,83,96672.82857
408,731,616659.4571
546,727,815536.8286
896,688,1257172.114
321,58,41184.11429
632,931,1209132.6
759,815,1265255.857
138,593,175371.1143
814,644,1070049.6
492,542,547625.2571
377,940,738529.7143
574,578,679977.2571
585,649,778384.3143
358,577,426940.2571
83,431,77849.45714
829,259,441286.6
421,725,630519.8571
68,337,49892.82857
366,627,474588.2571
706,219,319070.3143
608,465,578913.8571
429,81,74833.45714
176,848,321153.8286
221,522,241161.2571
638,682,891177.2571
944,967,1863740.829
173,111,40834.02857
592,739,897683.4571
36,151,11955.45714
49,227,24306.25714
65,313,44269.11429
774,922,1460832.114
112,374,89116.45714
767,393,616478.8286
313,746,486652.4571
88,457,87455.11429
786,471,756182.3143
148,973,316833.4
336,367,254504.2571
870,438,778041.2571
54,251,29556.02857
945,817,1574541.114
233,993,493706.8286
260,530,286745.7143
751,398,611333.8286
160,118,40077.82857
561,510,586383.4286
185,997,399510.2571
690,410,578882.8571
988,757,1524060.829
264,234,128284.4571
199,7,5175.4
389,570,457410.8571
472,214,208988.4571
352,950,698809.7143
255,886,477348.4571
697,871,1244213.457
305,380,239585.7143
448,159,148562.3143
737,449,676430.0286
87,449,84930.02857
226,120,57363.42857
269,389,216833.4571
443,348,317104.1143
90,463,90544.82857
994,881,1785532.029
362,973,735845.4
73,367,58306.25714
586,285,343372.7143
113,484,117433.0286
26,101,5855.457143
385,658,523650.4
298,671,416356.0286
588,105,130851
787,46,81908.45714
534,435,476394.4286
480,819,811164.6
801,473,773750.2571
922,926,1743107.314
426,708,622649.8286
229,130,62770.85714
881,439,789596.3143
184,960,381819.4286
667,661,902261.4571
864,649,1143874.314
11,31,841.4571429
220,68,32692.11429
188,796,319655.3143
301,885,558759.8571
31,127,8706.828571
231,358,171829.8286
524,255,275385.8571
355,981,728266.0286
277,497,285719.4
981,457,914373.1143
460,347,328200.2571
145,891,282812.3143
646,823,1090420.257
902,846,1557457.029
155,400,130431.4286
456,188,177937.8286
100,541,117762.3143
247,953,499694.8286
685,502,703160.1143
72,359,56242.31429
318,337,221392.8286
369,982,756696.1143
825,408,687856.1143
274,508,289045.2571
29,109,7009.457143
858,835,1463076.714
579,758,901128.1143
458,640,603438.8571
158,477,159128.8286
783,505,807512.4286
96,503,104956.8286
167,458,160969.2571
159,296,98539.31429
219,966,452397.6
874,827,1475624.829
248,783,408860.8286
147,32,11201.25714
391,304,245060.4571
486,312,311877.2571
451,920,859434.8571
446,102,96633.25714
194,915,381268.7143
455,617,577806.8286
383,405,319512.4286
200,182,76146.4
937,809,1546009.457
866,642,1134112.114
553,773,878646.2571
66,317,45507.11429
223,622,291141.8286
407,473,396298.2571
952,183,360812.8286
768,949,1492611.457
917,836,1564196.457
726,744,1104815.314
673,384,529153.0286
337,128,90784.11429
614,644,810049.6
721,583,859049.1143
64,311,43339.45714
515,20,26791.42857
889,974,1769545.029
921,153,293546.8286
249,927,489186.2571
982,690,1380546.857
263,557,305002.2571
191,204,81409.02857
84,433,79108.82857
892,860,1566075.429
181,58,23264.11429
839,423,724974.2571
30,113,7504.828571
711,509,739732.3143
156,451,148395.4571
99,523,112557.1143
346,656,470399.3143
1,2,16.11428571
862,491,863716.0286
671,343,471719.4
449,490,452268
932,129,252115.4571
275,307,174842.8286
996,52,115613.2571
956,235,462369.8571
833,484,823033.0286
708,341,494674.3143
743,719,1092120.314
618,41,58140.02857
491,620,625714.8571
713,569,829200.3143
139,9,4172.314286
554,372,422777.8286
470,350,338140
535,614,674171.3143
179,644,244549.6
594,298,363689.2571
844,207,360768.2571
601,89,114416.3143
23,83,4290.828571
749,916,1405129.029
261,40,24057.71429
81,419,73866.02857
67,331,48288.31429
820,539,902100.6
777,587,931366.8286
879,386,693393.0286
284,492,289780.1143
41,179,16085.45714
722,816,1205992.457
979,987,1972127.4
565,251,292210.0286
649,958,1277493.829
440,580,525291.4286
567,340,395666.8571
537,807,891769.1143
976,528,1050333.257
867,201,360092.3143
340,645,454566.4286
823,173,295489.1143
575,600,707185.7143
432,435,386430.4286
529,203,222299.4
930,679,1287272.6
265,82,46832.11429
153,801,265273.4571
651,147,199823.4
719,311,458609.4571
504,702,727744.1143
536,981,1085560.029
51,233,25929.11429
82,421,75092.02857
441,901,823168.3143
34,139,10412.02857
468,259,249956.6
583,682,815497.2571
58,271,34230.31429
39,167,14290.82857
682,733,1023347.114
192,29,13464.02857
399,823,680894.2571
211,755,337428.4286
868,324,575879.3143
912,965,1797710.429
357,949,707601.4571
110,121,28358.31429
639,114,153731.3143
968,548,1081124.114
272,180,102109.7143
692,498,704621.8286
102,710,160466.8571
60,281,36696.02857
214,209,93268.02857
409,126,108429.6
581,837,999582.2571
800,69,120136.0286
966,871,1716039.457
971,385,763557
775,646,1022523.314
802,43,78648.82857
845,312,540201.2571
420,483,417425.4
977,107,221129.1143
438,84,79041.6
793,878,1424049.257
427,564,495868.4571
908,332,616957.2571
763,302,472613.8286
59,277,35586.25714
753,812,1250746.4
174,441,161112.6
659,179,244745.4571
125,598,161217.2571
151,492,157312.1143
319,173,115057.1143
770,12,27724.11429
373,344,264481.0286
949,62,129173.8286
734,491,736484.0286
454,691,646518.3143
493,979,998594.0286
939,715,1368644.429
241,239,119722.0286
289,814,492891.3143
320,899,602291.4571
308,965,624742.4286
687,524,736065.0286
198,8,5545.828571
589,276,334372.4571
55,257,30817.11429
676,801,1109395.457
967,364,719365.6
344,570,405570.8571
842,739,1270183.457
356,497,365193.4
817,503,838934.8286
776,333,529296.2571
613,392,492338.4
850,233,407851.1143
890,455,826495
85,439,81156.31429
935,28,63602.4
140,329,96892.6
490,374,376396.4571
48,223,23404.82857
236,37,20335.11429
98,521,111047.4571
551,694,785161.0286
578,576,682271.3143
251,444,231532.4571
425,358,313061.8286
576,970,1151234.857
95,499,103064.3143
304,448,281766.4
927,360,682266.8571
903,710,1307498.857
916,187,354575.1143
821,370,621303.4286
810,436,721471.3143
50,229,24998.31429
941,892,1712769.257
394,229,186678.3143
652,563,751032.2571
788,65,112016.7143
984,225,456054.4286
459,85,83744.42857
934,417,795132.2571
497,742,759242.4
525,951,1030690.029
329,848,582477.8286
124,979,271664.0286
279,240,138913.7143
447,721,664790.6
635,668,868729.2571
105,768,179392.1143
240,402,200457.2571
799,665,1084893
309,861,556986.6
531,23,30813.11429
925,909,1716358.029
840,819,1405164.6
756,888,1374257.829
694,581,824400.6
642,875,1153079
501,802,827993.2571
109,443,103489.1143
267,801,449269.4571
883,852,1535968.114
257,246,131257.0286
746,246,377713.0286
278,360,207198.8571
803,58,102880.1143
63,307,42130.82857
252,882,469778.4
338,410,286018.8571
215,263,117646.2571
627,279,359614.0286
854,121,217334.3143
116,482,119853.8286
795,126,210333.6
431,860,767623.4286
163,705,245986.7143
282,311,181551.4571
819,645,1078224.429
995,708,1435181.829
528,210,229356
114,939,240652.0286
434,172,155349.2571
43,191,17984.31429
180,970,378242.8571
382,250,197369.7143
477,596,584457.0286
860,504,884457.6
453,370,344567.4286
467,771,742702.0286
755,719,1109520.314
32,131,9258.314286
557,279,319714.0286
631,784,1014541.6
732,156,237863.3143
798,609,992136.6
18,61,2518.314286
146,910,291132
877,693,1239767.4
895,784,1431661.6
593,8,16605.82857
629,562,723568.1143
560,642,737536.1143
175,236,86291.31429
131,381,105541.4571
171,538,194317.8286
258,646,348355.3143
838,676,1156088.457
747,152,236712.1143
210,319,139407.4571
851,805,1398837
445,731,671197.4571
517,471,499556.3143
582,686,818933.6
624,23,36207.11429
505,851,886261.4571
897,374,685716.4571
865,537,947629.1143
954,855,1663674.429
969,272,540877.8286
661,331,448644.3143
731,498,743933.8286
115,941,243109.4571
733,628,940712.1143
792,241,392907.4571
317,954,634643.3143
720,435,640446.4286
195,747,309613.1143
380,957,758047.1143
909,892,1655297.257
612,109,141099.4571
563,395,455983.8571
137,226,65027.31429
450,806,749361.0286
410,511,431400.6
303,521,327117.4571
570,786,920531.3143
24,89,4786.314286
118,985,261596.7143
93,487,98474.25714
57,269,33417.45714
604,698,864352.1143
19,67,2902.257143
975,89,185476.3143
2,3,36.25714286
361,6,8665.028571
6,13,232.8285714
502,677,698827.1143
738,579,873038.3143
22,79,3918.314286
244,744,381815.3143
509,93,101029.1143
360,17,16568.25714
622,804,1026109.029
237,311,153021.4571
827,341,577260.3143
144,70,22028
607,496,616457.0286
280,678,396173.8286
772,382,603241.2571
781,57,98498.82857
603,865,1071803.857
359,661,491389.4571
342,643,455728.8286
972,620,1227926.857
126,852,236956.1143
510,256,269112.4571
228,487,231584.2571
288,993,603596.8286
207,550,238826.8571
951,145,287802.7143
471,620,600674.8571
704,61,94442.31429
869,72,135712.1143
433,343,305595.4
268,396,219952.4571
354,595,435623
169,920,337170.8571
44,193,18576.25714
216,713,325132.8286
662,587,794976.8286
393,388,313985.2571
14,43,1424.828571
254,662,351865.2571
826,386,651841.0286
526,25,32629.85714
411,661,560757.4571
435,929,838108.3143
572,263,309712.2571
193,316,127145.0286
974,803,1594355.114
900,281,518856.0286
339,426,298081.0286
573,423,496746.2571
390,511,410720.6
142,549,166231.4571
647,711,942241.4571
915,545,1016816.429
571,388,454249.2571
482,564,558568.4571
428,677,597743.1143
400,160,133531.4286
906,363,672392.8286
564,86,103987.3143
271,937,536190.8286
40,173,15175.11429
465,485,463350.7143
161,622,213269.8286
923,871,1640617.457
702,111,164620.0286
296,884,549207.3143
686,339,476623.4571
577,469,554434.6
752,701,1077368.029
402,978,818464.1143
107,140,31804
857,383,670937.1143
310,793,513347.1143
943,269,520717.4571
120,145,36840.71429
187,575,226740.4286
374,864,672088.4571
816,126,215877.6
668,393,537476.8286
848,237,413732.8286
419,873,758377.1143
97,509,107312.3143
806,872,1437061.257
253,676,358148.4571
878,894,1603235.314
351,478,346296.1143
964,541,1062978.314
514,81,89623.45714
496,605,616569.8571
381,493,387182.2571
387,602,480946.4
633,71,97626.02857
544,70,82828
376,609,473076.6
855,547,954178.8286
615,525,661005
620,898,1144000.114
765,34,61233.02857
548,824,929079.3143
503,995,1035292.429
170,140,50200
898,931,1707616.6
47,211,21670.02857
378,982,774480.1143
487,355,355214.7143
669,540,738879.4286
295,412,251469.8286
401,307,253718.8286
165,150,52122.85714
17,59,2309.457143
414,496,422685.0286
203,473,200866.2571
398,424,347416.4571
406,178,150313.2571
875,963,1722246.257
15,47,1653.114286
596,394,481235.3143
121,528,137193.2571
666,312,426357.2571
725,890,1321831.429
543,56,67421.6
349,995,726984.4286
416,93,82615.11429
674,756,1043505.6
532,133,148401.4
415,46,43220.45714
424,380,331453.7143
591,34,47313.02857
299,287,177567.4
754,71,116260.0286
259,231,124290.6
744,152,235764.1143
152,380,121469.7143
533,963,1059450.257
550,232,263337.8286
828,581,981716.6
837,160,278615.4286
286,535,317629.8571
325,681,459800.3143
225,275,128610.7143
730,72,114028.1143
757,680,1051815.429
771,401,632188.3143
212,542,240745.2571
741,632,956928.1143
693,422,598296.1143
164,475,164214.4286
859,811,1422398.029
347,274,196465.0286
782,463,739640.8286
748,836,1279600.457
16,53,1968.257143
853,458,797577.2571
276,720,415563.4286
250,83,44696.82857
119,510,130239.4286
841,48,90893.82857
998,655,1331613.857
436,543,487152.2571
311,265,170568.4286
21,73,3470.257143
894,847,1545661.4
327,982,673704.1143
791,213,347754.2571
769,553,868479.4
919,452,847641.2571